Crypto,Timeframe,Metric,Sample_Size,Median_3Class,Median_4Class,Median_Diff,Median_Diff_%,Win_Rate_4Class_%,Cohen_D,Effect_Size,P_Value,P_Adjusted,Stat_Sig,Practical_Sig,Winner
BTC,1D,loss_count,80,43.0,218.5,-175.5,-408.14,10.0,-0.903,Large,6.349e-13,1.270e-12,✓,✗,3-Class
BTC,1D,loss_mean,80,0.0427,0.0438,-0.0011,-2.6,42.5,-0.167,Negligible,1.396e-01,1.396e-01,✗,✗,3-Class
BTC,1D,transaction,80,229.0,479.0,-250.0,-109.17,91.2,-0.914,Large,7.088e-14,2.835e-13,✓,✓,4-Class
BTC,1D,ratio,80,0.4332,0.4676,-0.0344,-7.95,31.2,-0.431,Small,1.691e-05,2.254e-05,✓,✗,3-Class
BTC,4H,loss_count,80,203.0,1057.0,-854.0,-420.69,10.0,-0.711,Medium,2.724e-12,5.447e-12,✓,✗,3-Class
BTC,4H,loss_mean,80,0.0218,0.0213,0.0005,2.38,56.2,0.231,Small,4.707e-02,4.707e-02,✓,✗,4-Class
BTC,4H,transaction,80,737.5,2663.0,-1925.5,-261.08,95.0,-0.764,Medium,2.702e-14,1.081e-13,✓,✓,4-Class
BTC,4H,ratio,80,0.4812,0.4851,-0.0038,-0.8,36.2,-0.07,Negligible,9.869e-03,1.316e-02,✓,✗,3-Class
BTC,30M,loss_count,80,300.5,1874.5,-1574.0,-523.79,11.2,-0.717,Medium,3.354e-13,6.707e-13,✓,✗,3-Class
BTC,30M,loss_mean,80,0.0087,0.0086,0.0001,0.96,67.5,0.243,Small,7.086e-03,9.448e-03,✓,✗,4-Class
BTC,30M,transaction,80,744.0,4140.5,-3396.5,-456.52,90.0,-0.741,Medium,7.877e-14,3.151e-13,✓,✓,4-Class
BTC,30M,ratio,80,0.4724,0.4615,0.0109,2.3,35.0,-0.062,Negligible,2.004e-01,2.004e-01,✗,✗,4-Class
