model,lookahead,threshold,accuracy,loss_count,loss_mean,transaction
XGBoost,3,0.02,0.4880174291938998,98,0.04540742753639833,338
XGBoost,3,0.03,0.4422657952069717,60,0.04277923078583711,237
XGBoost,3,0.04,0.46405228758169936,30,0.05029932516846437,163
XGBoost,3,0.05,0.46187363834422657,29,0.06274742291521962,107
XGBoost,5,0.02,0.5620915032679739,78,0.04241240151364767,379
XGBoost,5,0.03,0.5664488017429193,62,0.04081523489138749,292
XGBoost,5,0.04,0.5206971677559913,53,0.047992887098584104,243
XGBoost,5,0.05,0.5599128540305011,28,0.03536741546994062,199
XGBoost,8,0.02,0.6724890829694323,60,0.04383619610232748,410
XGBoost,8,0.03,0.6353711790393013,54,0.02880867220234408,365
XGBoost,8,0.04,0.6069868995633187,44,0.03421508883822115,312
XGBoost,8,0.05,0.6222707423580786,23,0.04934695787213871,252
XGBoost,10,0.02,0.7467248908296943,59,0.04063639836148078,425
XGBoost,10,0.03,0.7117903930131004,41,0.02826792864440118,371
XGBoost,10,0.04,0.665938864628821,29,0.04072727654444092,321
XGBoost,10,0.05,0.6397379912663755,20,0.07831609475748522,272
XGBoost,12,0.02,0.7352297592997812,56,0.03965368568675678,415
XGBoost,12,0.03,0.7330415754923414,34,0.03690778081235675,393
XGBoost,12,0.04,0.6586433260393874,39,0.040646829159635293,340
XGBoost,12,0.05,0.6455142231947484,30,0.044895383555887285,319
LSTM,3,0.02,0.2800875273522976,233,0.029320977771032347,446
LSTM,3,0.03,0.23413566739606126,171,0.0313302138008687,325
LSTM,3,0.04,0.31947483588621445,100,0.028151173034825967,197
LSTM,3,0.05,0.43544857768052514,6,0.04365869981754785,32
LSTM,5,0.02,0.34573304157549234,182,0.040028826488126744,403
LSTM,5,0.03,0.26258205689277897,195,0.038574776258239636,365
LSTM,5,0.04,0.23851203501094093,177,0.04030541505777914,323
LSTM,5,0.05,0.30196936542669583,112,0.04099389197071362,215
LSTM,8,0.02,0.31359649122807015,251,0.054537325200430455,456
LSTM,8,0.03,0.2894736842105263,229,0.05042219844433429,411
LSTM,8,0.04,0.2719298245614035,164,0.05028102442955335,290
LSTM,8,0.05,0.2543859649122807,165,0.04986547293136159,312
LSTM,10,0.02,0.31868131868131866,272,0.05920676490908718,455
LSTM,10,0.03,0.3274725274725275,239,0.057685947588083715,438
LSTM,10,0.04,0.23296703296703297,250,0.06029076801417159,390
LSTM,10,0.05,0.27472527472527475,131,0.05529858580946895,262
LSTM,12,0.02,0.27692307692307694,293,0.06411673093948518,455
LSTM,12,0.03,0.2835164835164835,273,0.06267454088259267,453
LSTM,12,0.04,0.17582417582417584,177,0.0679854626552623,263
LSTM,12,0.05,0.15824175824175823,220,0.07086666924417567,310
GRU,3,0.02,0.3238512035010941,208,0.02990756895984925,443
GRU,3,0.03,0.29321663019693656,101,0.03488401355992862,191
GRU,3,0.04,0.30196936542669583,80,0.033148800809293076,161
GRU,3,0.05,0.3851203501094092,16,0.02915746287002525,44
GRU,5,0.02,0.3479212253829322,196,0.037227747757404374,412
GRU,5,0.03,0.2910284463894967,166,0.04150309866294006,314
GRU,5,0.04,0.3063457330415755,118,0.041718236254474204,237
GRU,5,0.05,0.28665207877461707,101,0.04349011279292942,182
GRU,8,0.02,0.36403508771929827,223,0.05350434725315897,456
GRU,8,0.03,0.26096491228070173,238,0.053179150150227755,422
GRU,8,0.04,0.2631578947368421,191,0.05285893517440766,344
GRU,8,0.05,0.2894736842105263,100,0.04301718762412307,203
GRU,10,0.02,0.37142857142857144,237,0.0582456325564536,455
GRU,10,0.03,0.29010989010989013,261,0.05604031419243876,445
GRU,10,0.04,0.26373626373626374,244,0.05763492024712642,425
GRU,10,0.05,0.24175824175824176,179,0.055504169676345756,321
GRU,12,0.02,0.33406593406593404,260,0.06517023945308295,455
GRU,12,0.03,0.29010989010989013,263,0.06256109470590963,443
GRU,12,0.04,0.24615384615384617,152,0.05749864822313995,277
GRU,12,0.05,0.18681318681318682,201,0.06832119518202046,300
CNN,3,0.02,0.3304157549234136,146,0.02968213329249889,321
CNN,3,0.03,0.3041575492341357,142,0.02792587725561601,302
CNN,3,0.04,0.3522975929978118,54,0.034903859083357996,118
CNN,3,0.05,0.38949671772428884,31,0.031628599304302736,60
CNN,5,0.02,0.35667396061269147,208,0.03910728663271324,443
CNN,5,0.03,0.33916849015317285,153,0.03450201635080476,321
CNN,5,0.04,0.31072210065645517,136,0.035494384403867665,298
CNN,5,0.05,0.2800875273522976,153,0.03674676229419441,307
CNN,8,0.02,0.3618421052631579,223,0.05325436882190908,456
CNN,8,0.03,0.31140350877192985,233,0.048686836423700565,451
CNN,8,0.04,0.29605263157894735,152,0.041068759250731605,329
CNN,8,0.05,0.2543859649122807,119,0.042983521685715176,256
CNN,10,0.02,0.35384615384615387,256,0.05601307349742017,455
CNN,10,0.03,0.3274725274725275,225,0.059073168066275154,451
CNN,10,0.04,0.3208791208791209,174,0.05175128343737287,362
CNN,10,0.05,0.22857142857142856,177,0.05385010087813071,304
CNN,12,0.02,0.37362637362637363,240,0.06245243935767471,454
CNN,12,0.03,0.38461538461538464,233,0.05445441962875596,455
CNN,12,0.04,0.3010989010989011,199,0.055278201699088016,363
CNN,12,0.05,0.21318681318681318,159,0.06042794452300045,272
