model,lookahead,threshold,accuracy,loss_count,loss_mean,transaction
XGBoost,3,0.02,0.52888610875296,77,0.027257124554793295,214
XGBoost,3,0.03,0.5414414011885081,11,0.04078290219601972,67
XGBoost,3,0.04,0.5497073410482105,11,0.021167118114492824,42
XGBoost,3,0.05,0.5546222242080336,10,0.03053259575080685,29
XGBoost,5,0.02,0.5355674709562109,109,0.02293836889783626,382
XGBoost,5,0.03,0.5564789991063449,30,0.025102492866183143,154
XGBoost,5,0.04,0.5728328865058088,10,0.034505177936510076,83
XGBoost,5,0.05,0.5773011617515639,8,0.02507264696249158,58
XGBoost,8,0.02,0.5312569819920461,195,0.032995726447373606,676
XGBoost,8,0.03,0.5725456901559498,57,0.03843425079054942,266
XGBoost,8,0.04,0.5973904106528442,16,0.03205204320515379,163
XGBoost,8,0.05,0.6018588855623576,18,0.02978610179095787,139
XGBoost,10,0.02,0.5289333750390992,275,0.029600217485174742,1041
XGBoost,10,0.03,0.5788462397783637,76,0.038853205323131995,400
XGBoost,10,0.04,0.6078913266902006,49,0.03496129521722431,238
XGBoost,10,0.05,0.6163814290182761,16,0.033361126663912,157
XGBoost,12,0.02,0.5259183126284744,308,0.02707110195482159,1233
XGBoost,12,0.03,0.5843685762802753,79,0.03179876631344103,511
XGBoost,12,0.04,0.6089015997855036,48,0.03565760402025809,282
XGBoost,12,0.05,0.6237375994280097,25,0.03836986411151927,189
LSTM,3,0.02,0.5058986504602735,4,0.020781764200788304,15
LSTM,3,0.03,0.5020555903119135,5,0.012144777909269485,15
LSTM,3,0.04,0.5073733130753418,0,0.0,0
LSTM,3,0.05,0.5090714094199661,0,0.0,0
LSTM,5,0.02,0.5008490481723121,21,0.03161933920527541,61
LSTM,5,0.03,0.5067923853784967,2,0.005302713568161829,5
LSTM,5,0.04,0.51345071051926,0,0.0,0
LSTM,5,0.05,0.5175618911430869,9,0.026606018308883744,18
LSTM,8,0.02,0.4698127541672253,14,0.022229053993340214,55
LSTM,8,0.03,0.5103454439826608,4,0.032239336624892714,13
LSTM,8,0.04,0.5112839075836797,6,0.018925071035316262,15
LSTM,8,0.05,0.5052509272914153,1,0.02105014191106901,5
LSTM,10,0.02,0.47513071457299905,48,0.01441976504515073,142
LSTM,10,0.03,0.47866112526254634,6,0.030604477789196588,11
LSTM,10,0.04,0.4864816552710372,48,0.009286241359621656,109
LSTM,10,0.05,0.4882692049872637,15,0.012249932438072614,24
LSTM,12,0.02,0.44927601001072576,159,0.013850575400664245,351
LSTM,12,0.03,0.4929388630675724,69,0.019462447652403816,105
LSTM,12,0.04,0.49235788344654985,2,0.022438072090444846,7
LSTM,12,0.05,0.5020110833035395,9,0.019754639130734927,24
GRU,3,0.02,0.509339529895433,7,0.010017729778464133,23
GRU,3,0.03,0.5083117347394762,0,0.0,4
GRU,3,0.04,0.5112163732237018,0,0.0,0
GRU,3,0.05,0.5176065778889981,0,0.0,1
GRU,5,0.02,0.4886495665385647,10,0.03155582289179244,32
GRU,5,0.03,0.5113057467155242,0,0.0,2
GRU,5,0.04,0.5171150236839753,0,0.0,0
GRU,5,0.05,0.5181875055858433,1,0.018654867256637103,1
GRU,8,0.02,0.4746838271439424,12,0.007824787655337664,40
GRU,8,0.03,0.49671537739643384,0,0.0,6
GRU,8,0.04,0.507664119408321,4,0.009467568297482569,10
GRU,8,0.05,0.5117307950127363,6,0.026519551273335825,12
GRU,10,0.02,0.46900835679492336,35,0.02535864903683007,71
GRU,10,0.03,0.4756222907449613,5,0.025086851370073594,17
GRU,10,0.04,0.48885015864503734,0,0.0,0
GRU,10,0.05,0.4968494436251508,9,0.01699252578416428,19
GRU,12,0.02,0.4530747229174115,67,0.022670166887089064,154
GRU,12,0.03,0.4875312835180551,7,0.01974463859951064,36
GRU,12,0.04,0.4948605648909546,0,0.0,0
GRU,12,0.05,0.4917322130854487,7,0.025979685567617965,13
CNN,3,0.02,0.4960228796139065,0,0.0,1
CNN,3,0.03,0.5038877468942712,0,0.0,5
CNN,3,0.04,0.5006256144427563,0,0.0,2
CNN,3,0.05,0.5138082044865493,0,0.0,0
CNN,5,0.02,0.4936544820806149,9,0.050461493066816875,18
CNN,5,0.03,0.5114844936991688,1,0.024410163339382847,5
CNN,5,0.04,0.5137635177406381,0,0.0,2
CNN,5,0.05,0.5073733130753418,0,0.0,0
CNN,8,0.02,0.47736515171828214,16,0.042561423102895936,48
CNN,8,0.03,0.49917325825624526,2,0.03731955022457937,7
CNN,8,0.04,0.5018545828305849,0,0.0,0
CNN,8,0.05,0.5127586360995665,0,0.0,0
CNN,10,0.02,0.4706171515395272,53,0.02431607093495008,107
CNN,10,0.03,0.5021674040309246,21,0.03193571383368787,38
CNN,10,0.04,0.4894758010457166,5,0.007167058892775971,15
CNN,10,0.05,0.4930955892210752,0,0.0,0
CNN,12,0.02,0.4515552377547372,57,0.021339027781602515,126
CNN,12,0.03,0.47220235967107616,14,0.020679251192821553,32
CNN,12,0.04,0.5050053628888095,0,0.0,0
CNN,12,0.05,0.513362531283518,0,0.0,0
