model,lookahead,threshold,accuracy,loss_count,loss_mean,transaction
XGBoost,3,0.005,0.48549946294307195,879,0.01771998752829233,2236
XGBoost,3,0.01,0.5302542069459363,332,0.023799562677397777,913
XGBoost,3,0.02,0.7192982456140351,69,0.037633281445091316,249
XGBoost,3,0.025,0.7780164697457931,51,0.03135997784210404,166
XGBoost,5,0.005,0.5616045845272206,846,0.020299644982004754,2551
XGBoost,5,0.01,0.5315186246418339,471,0.024393728694341348,1526
XGBoost,5,0.02,0.6550859598853869,95,0.029204775146750166,425
XGBoost,5,0.025,0.7106017191977078,74,0.031730843964296866,308
XGBoost,8,0.005,0.6432664756446992,711,0.0220997799063514,2647
XGBoost,8,0.01,0.5941977077363897,466,0.02371301251662063,1963
XGBoost,8,0.02,0.6378939828080229,141,0.03284541686761357,738
XGBoost,8,0.025,0.6708452722063037,93,0.04826826127795424,546
XGBoost,10,0.005,0.6617699749193837,695,0.02396800596424319,2687
XGBoost,10,0.01,0.6227158724471515,487,0.022011192090766882,2155
XGBoost,10,0.02,0.6664278036546041,151,0.039117666083010316,985
XGBoost,10,0.025,0.6954496596202078,79,0.037620056007360306,670
XGBoost,12,0.005,0.7044070225725546,626,0.023706766383210693,2738
XGBoost,12,0.01,0.647079899677535,501,0.02498615111997655,2297
XGBoost,12,0.02,0.6757434611250448,175,0.034985540564264825,1210
XGBoost,12,0.025,0.6821927624507345,105,0.03895874389457026,865
LSTM,3,0.005,0.370118237190971,1192,0.014612538251624433,2520
LSTM,3,0.01,0.4980293801504837,344,0.017348918488402056,775
LSTM,3,0.02,0.7893228233608026,5,0.011321859827859828,13
LSTM,3,0.025,0.8527409530634181,0,0.0,0
LSTM,5,0.005,0.3849462365591398,1341,0.018659806998710275,2727
LSTM,5,0.01,0.3587813620071685,954,0.020912777350234706,1914
LSTM,5,0.02,0.6792114695340502,56,0.02995838657030337,117
LSTM,5,0.025,0.7440860215053764,70,0.017102246114356453,143
LSTM,8,0.005,0.41161706704912154,1370,0.022894439516237396,2746
LSTM,8,0.01,0.36213696665471495,1083,0.023811471775032213,2304
LSTM,8,0.02,0.4983865184653998,418,0.025864372273606134,877
LSTM,8,0.025,0.6131229831480818,183,0.023206787498224413,368
LSTM,10,0.005,0.4126927214055217,1384,0.025665562179878806,2734
LSTM,10,0.01,0.32556471853711005,977,0.026501534479803447,1910
LSTM,10,0.02,0.49085693797059876,378,0.029487366590972286,729
LSTM,10,0.025,0.5543205449982073,284,0.0261103909387824,564
LSTM,12,0.005,0.4257532281205165,1396,0.02884467485885484,2788
LSTM,12,0.01,0.3335724533715925,1216,0.027353493164204778,2304
LSTM,12,0.02,0.45229555236728836,450,0.02891707297532636,846
LSTM,12,0.025,0.5211621233859397,403,0.02847658546200971,888
GRU,3,0.005,0.35972769616624867,1235,0.014748633771035104,2517
GRU,3,0.01,0.4869222500895736,379,0.019086327799907724,778
GRU,3,0.02,0.7835901110713006,30,0.01530340400689391,60
GRU,3,0.025,0.8527409530634181,0,0.0,0
GRU,5,0.005,0.392831541218638,1164,0.018897628085516194,2478
GRU,5,0.01,0.3741935483870968,872,0.020463380308734288,1818
GRU,5,0.02,0.6369175627240143,171,0.020465118941744832,406
GRU,5,0.025,0.7591397849462366,45,0.020985561417434982,94
GRU,8,0.005,0.4277518823951237,1327,0.023594470380778238,2750
GRU,8,0.01,0.3531731803513804,1100,0.024561894616808588,2308
GRU,8,0.02,0.5543205449982073,236,0.026979660193510384,461
GRU,8,0.025,0.6554320544998207,117,0.02433755532167432,298
GRU,10,0.005,0.4263176765865902,1392,0.02449304802987399,2789
GRU,10,0.01,0.3535317318035138,1266,0.02522709459404129,2460
GRU,10,0.02,0.4951595553961994,362,0.027430683411438905,694
GRU,10,0.025,0.4991036213696666,359,0.022274246534940898,737
GRU,12,0.005,0.4053084648493544,1451,0.02804953323495141,2788
GRU,12,0.01,0.3705164992826399,1079,0.027543952680667,2228
GRU,12,0.02,0.4580344332855093,502,0.029055149112379955,980
GRU,12,0.025,0.4652080344332855,544,0.02990644593438776,1090
CNN,3,0.005,0.3762092439985668,1199,0.014792958908179006,2475
CNN,3,0.01,0.517018989609459,268,0.02000388184571032,605
CNN,3,0.02,0.7850232891436761,22,0.02923010749394631,40
CNN,3,0.025,0.853099247581512,0,0.0,1
CNN,5,0.005,0.3817204301075269,1292,0.017875344679226517,2596
CNN,5,0.01,0.4017921146953405,707,0.020750553727792796,1463
CNN,5,0.02,0.6745519713261648,101,0.023780542953878506,196
CNN,5,0.025,0.7759856630824373,26,0.0514802650854977,68
CNN,8,0.005,0.41340982430978845,1364,0.02257812357735243,2766
CNN,8,0.01,0.3549659376120473,879,0.023056490613952995,1791
CNN,8,0.02,0.5148798852635353,363,0.02485346595605278,735
CNN,8,0.025,0.6471853711007529,122,0.021652465907852147,287
CNN,10,0.005,0.44532090354965936,1324,0.02492245077854769,2789
CNN,10,0.01,0.35281462889924703,1206,0.025255716426636585,2428
CNN,10,0.02,0.5030476873431338,330,0.025299788603933074,663
CNN,10,0.025,0.588024381498745,184,0.02378016285345783,419
CNN,12,0.005,0.4282639885222382,1378,0.027452146849381544,2772
CNN,12,0.01,0.36872309899569583,1005,0.027193892047040265,2101
CNN,12,0.02,0.5129124820659972,234,0.030743615450978944,519
CNN,12,0.025,0.522596843615495,385,0.02727799714188951,747
