model,lookahead,threshold,accuracy,loss_count,loss_mean,transaction
XGBoost,3,0.02,0.5283757338551859,75,0.03871606764842159,272
XGBoost,3,0.03,0.5929549902152642,37,0.03664180331158618,161
XGBoost,3,0.04,0.6673189823874756,30,0.045121755723988105,101
XGBoost,3,0.05,0.726027397260274,11,0.0660818477835004,46
XGBoost,5,0.02,0.6203522504892368,73,0.04464080890216852,354
XGBoost,5,0.03,0.6516634050880626,33,0.03658034639654602,229
XGBoost,5,0.04,0.6673189823874756,32,0.05325773884205151,181
XGBoost,5,0.05,0.6986301369863014,14,0.06526016274952001,110
XGBoost,8,0.02,0.6725490196078432,76,0.042801820565796185,414
XGBoost,8,0.03,0.6549019607843137,55,0.05409598706957975,340
XGBoost,8,0.04,0.6803921568627451,32,0.0500543386436573,245
XGBoost,8,0.05,0.7725490196078432,17,0.03789383733906164,194
XGBoost,10,0.02,0.6954813359528488,68,0.037750646899284764,418
XGBoost,10,0.03,0.6817288801571709,62,0.05187243582951932,377
XGBoost,10,0.04,0.6895874263261297,32,0.05447761512913246,288
XGBoost,10,0.05,0.75049115913556,20,0.059676273148119366,229
XGBoost,12,0.02,0.75049115913556,54,0.0440343943127371,444
XGBoost,12,0.03,0.7092337917485265,31,0.04253862686269856,342
XGBoost,12,0.04,0.7406679764243614,15,0.05628694998216118,290
XGBoost,12,0.05,0.7210216110019646,21,0.08923009761036302,259
LSTM,3,0.02,0.29862475442043224,226,0.03151179536765165,461
LSTM,3,0.03,0.5638506876227898,14,0.02357255538011227,28
LSTM,3,0.04,0.6817288801571709,5,0.008174655109065945,14
LSTM,3,0.05,0.8074656188605108,3,0.009409073524940744,5
LSTM,5,0.02,0.27755905511811024,270,0.03727446066918754,494
LSTM,5,0.03,0.4271653543307087,57,0.028482943925083815,113
LSTM,5,0.04,0.49803149606299213,42,0.028973426697207212,76
LSTM,5,0.05,0.6496062992125984,12,0.02986107416601494,30
LSTM,8,0.02,0.3464566929133858,248,0.04665554546831982,491
LSTM,8,0.03,0.32086614173228345,159,0.03996591892455973,345
LSTM,8,0.04,0.4921259842519685,15,0.0371685755035203,40
LSTM,8,0.05,0.6122047244094488,10,0.030626045627603866,36
LSTM,10,0.02,0.41420118343195267,238,0.053272806166328936,507
LSTM,10,0.03,0.35502958579881655,214,0.04748702733029085,474
LSTM,10,0.04,0.36489151873767256,44,0.03754703435877704,118
LSTM,10,0.05,0.47337278106508873,24,0.036647896637209486,71
LSTM,12,0.02,0.4161735700197239,211,0.04975040373248089,477
LSTM,12,0.03,0.39250493096646943,212,0.04935414201256342,498
LSTM,12,0.04,0.32741617357001973,195,0.0608310733252069,405
LSTM,12,0.05,0.4240631163708087,73,0.0751605599372816,155
GRU,3,0.02,0.2966601178781925,208,0.029625581184845286,441
GRU,3,0.03,0.5677799607072691,16,0.026301703964056566,31
GRU,3,0.04,0.6817288801571709,11,0.032112934306776225,22
GRU,3,0.05,0.8172888015717092,0,0.0,0
GRU,5,0.02,0.3346456692913386,224,0.036841661071150486,491
GRU,5,0.03,0.46653543307086615,18,0.03392138250353581,41
GRU,5,0.04,0.5531496062992126,11,0.02549001003556686,32
GRU,5,0.05,0.6614173228346457,7,0.017075732207811566,20
GRU,8,0.02,0.34448818897637795,250,0.047385811621583104,499
GRU,8,0.03,0.33070866141732286,211,0.043402558681734586,483
GRU,8,0.04,0.4862204724409449,16,0.03541718408210701,39
GRU,8,0.05,0.5787401574803149,17,0.030426593350054848,56
GRU,10,0.02,0.40631163708086787,232,0.05451321709920689,496
GRU,10,0.03,0.33727810650887574,227,0.05413145084444132,481
GRU,10,0.04,0.3431952662721893,131,0.04504978558912094,306
GRU,10,0.05,0.46745562130177515,30,0.04543169970584702,77
GRU,12,0.02,0.39644970414201186,233,0.05561504739538759,493
GRU,12,0.03,0.378698224852071,216,0.05125974592794097,496
GRU,12,0.04,0.3155818540433925,166,0.05711578099962335,349
GRU,12,0.05,0.4990138067061144,22,0.06441729166850961,61
CNN,3,0.02,0.36738703339882123,113,0.02731545108472554,276
CNN,3,0.03,0.5756385068762279,23,0.02648276963499066,44
CNN,3,0.04,0.6679764243614931,18,0.0324189767013751,29
CNN,3,0.05,0.8074656188605108,4,0.02829054474924905,6
CNN,5,0.02,0.33661417322834647,237,0.03654042862141786,507
CNN,5,0.03,0.41141732283464566,72,0.03551600702263218,133
CNN,5,0.04,0.6003937007874016,0,0.0,0
CNN,5,0.05,0.6948818897637795,0,0.0,0
CNN,8,0.02,0.35236220472440943,250,0.04545375848036797,508
CNN,8,0.03,0.33858267716535434,181,0.041340189515509156,420
CNN,8,0.04,0.44291338582677164,37,0.029872878531691564,84
CNN,8,0.05,0.5354330708661418,39,0.03336917748319302,66
CNN,10,0.02,0.4240631163708087,229,0.04741125316738247,503
CNN,10,0.03,0.35502958579881655,222,0.049633285992755,495
CNN,10,0.04,0.40433925049309666,33,0.04946535250599967,66
CNN,10,0.05,0.44970414201183434,54,0.05267309126196808,114
CNN,12,0.02,0.3905325443786982,244,0.05903802148054019,507
CNN,12,0.03,0.3747534516765286,218,0.05274243397384837,484
CNN,12,0.04,0.4161735700197239,71,0.060045841554183944,179
CNN,12,0.05,0.47731755424063116,37,0.06309780012785315,75
