model,lookahead,threshold,accuracy,loss_count,loss_mean,transaction
XGBoost,3,0.002,0.3889447640503681,8692,0.00556590503407689,19969
XGBoost,3,0.005,0.3972723981172306,1484,0.00973636756248027,3525
XGBoost,3,0.01,0.491652250875005,162,0.01301605326413506,415
XGBoost,3,0.015,0.5211409260972765,34,0.017763270750745415,105
XGBoost,5,0.002,0.435709687801738,9337,0.006605643014453259,22555
XGBoost,5,0.005,0.395598648213711,2855,0.00963080504798432,7144
XGBoost,5,0.01,0.4800852912777599,297,0.015366131630107336,899
XGBoost,5,0.015,0.5209205020920502,72,0.02878819066541485,281
XGBoost,8,0.002,0.47517701963308656,9500,0.008092261273454053,24074
XGBoost,8,0.005,0.4053749597682652,4764,0.010531163654942595,12272
XGBoost,8,0.01,0.4632281943997425,768,0.016374121472449998,2139
XGBoost,8,0.015,0.5080463469584808,183,0.019358725252304112,609
XGBoost,10,0.002,0.5045664856165761,9155,0.008554573203321007,24277
XGBoost,10,0.005,0.4168577750955542,5651,0.010581203648156033,14838
XGBoost,10,0.01,0.45713136189901427,966,0.01662073642274339,3018
XGBoost,10,0.015,0.5046871856769262,190,0.021164970760270373,730
XGBoost,12,0.002,0.5207000603500301,9067,0.009446714111929497,24391
XGBoost,12,0.005,0.43375578354455846,6120,0.010826437119767189,16730
XGBoost,12,0.01,0.4554415610541139,1362,0.016091063453645443,4034
XGBoost,12,0.015,0.5071414202373767,283,0.021386174204131775,1049
LSTM,3,0.002,0.3132971233152283,11721,0.004282254290445947,24171
LSTM,3,0.005,0.3723999195332931,1771,0.005727038998419913,3766
LSTM,3,0.01,0.47825387246026957,25,0.007851901857493722,35
LSTM,3,0.015,0.4986924160128747,2,0.0044607071606747855,3
LSTM,5,0.002,0.3522169469703066,11851,0.00538188880597601,24647
LSTM,5,0.005,0.26671763096483464,7306,0.005897810885397445,15225
LSTM,5,0.01,0.4499476945360908,151,0.01038153694866353,345
LSTM,5,0.015,0.49368310935865456,18,0.007888333692004729,44
LSTM,8,0.002,0.3768156761759144,12163,0.006643026683449237,24797
LSTM,8,0.005,0.26222186456363417,9702,0.007215725191893671,20172
LSTM,8,0.01,0.3989055647205569,1103,0.009349066351545974,2454
LSTM,8,0.015,0.4718142678952239,21,0.006871971452076406,62
LSTM,10,0.002,0.4028487506538446,11783,0.00770960073309641,24821
LSTM,10,0.005,0.27091296825332956,10494,0.00798276260327648,21560
LSTM,10,0.01,0.3717056290991027,1833,0.009321799926795446,4019
LSTM,10,0.015,0.45258117732265724,206,0.006868672150506562,452
LSTM,12,0.002,0.40294543698696283,12134,0.008630005121577381,24852
LSTM,12,0.005,0.28283437952679863,10651,0.008703249755101502,22088
LSTM,12,0.01,0.33345404796394656,2871,0.009882147659477926,6225
LSTM,12,0.015,0.43248028327699983,149,0.008736347750518465,369
GRU,3,0.002,0.31337759002212834,11766,0.004174350834188606,24248
GRU,3,0.005,0.3697042848521424,2023,0.005866661473633209,4309
GRU,3,0.01,0.47648360490846914,1,0.0053225391035726845,4
GRU,3,0.015,0.5062160531080265,0,0.0,0
GRU,5,0.002,0.3493602639414179,11930,0.005398295418177401,24709
GRU,5,0.005,0.29697433008771223,5386,0.006138868927817841,11091
GRU,5,0.01,0.4524422628148387,68,0.007561440437698896,159
GRU,5,0.015,0.4901021968294842,9,0.006194878905753025,17
GRU,8,0.002,0.382328089164286,11943,0.006958220174524374,24798
GRU,8,0.005,0.2588822274976864,9532,0.007243713084422307,19748
GRU,8,0.01,0.4057457852170764,1141,0.009473253343096587,2547
GRU,8,0.015,0.47314207540337183,36,0.009621948666649489,82
GRU,10,0.002,0.37532692230314246,12516,0.007831774775575305,24819
GRU,10,0.005,0.2748561541866173,10399,0.007824073675238297,21382
GRU,10,0.01,0.3689293043093389,1852,0.009720244164697911,4240
GRU,10,0.015,0.456081760753229,23,0.009629760525089683,46
GRU,12,0.002,0.4029856751971672,12131,0.008518010986321812,24835
GRU,12,0.005,0.2852889103492677,10501,0.00881075658495597,21812
GRU,12,0.01,0.35317077096410754,1964,0.010453200286168744,4335
GRU,12,0.015,0.4423386447770803,141,0.014215265957798984,317
CNN,3,0.002,0.31064172198752765,11761,0.0042732618902344395,23987
CNN,3,0.005,0.3935626634479984,684,0.008021418210074665,1482
CNN,3,0.01,0.4852947093140213,150,0.009356000483217202,325
CNN,3,0.015,0.5007845503922752,10,0.016458242394483444,17
CNN,5,0.002,0.34746922024623805,12104,0.005278588527749699,24794
CNN,5,0.005,0.2949625814758188,6671,0.006553521206248352,13321
CNN,5,0.01,0.44161905528285184,598,0.009347471008560558,1359
CNN,5,0.015,0.4955339180815965,6,0.012857600325149389,16
CNN,8,0.002,0.3775801714078783,12097,0.006900963543942166,24853
CNN,8,0.005,0.28495553856677264,8382,0.007647555704355319,17343
CNN,8,0.01,0.39954935017905285,1897,0.009408868719665254,4041
CNN,8,0.015,0.4679917917354042,110,0.010439247406194993,228
CNN,10,0.002,0.3940771737818372,12026,0.007798923680229235,24853
CNN,10,0.005,0.28173661127429284,10300,0.00817164052968329,21111
CNN,10,0.01,0.40220496519534865,386,0.012242866647634144,818
CNN,10,0.015,0.4631231642055285,109,0.02053984732384342,229
CNN,12,0.002,0.3905923064542089,12449,0.008568631704725804,24852
CNN,12,0.005,0.2870191533880573,11205,0.008617442878214735,23336
CNN,12,0.01,0.386085626911315,547,0.012800078139667354,1204
CNN,12,0.015,0.44769032673426684,29,0.01012188582249153,62
