model,lookahead,threshold,accuracy,loss_count,loss_mean,transaction
XGBoost,3,0.005,0.4276506606509829,1163,0.013939572578234048,2784
XGBoost,3,0.01,0.37286496938446667,529,0.016410826754390682,1346
XGBoost,3,0.02,0.4366741862713503,84,0.01975452239441537,256
XGBoost,3,0.025,0.4666451820818563,34,0.024206751595660686,132
XGBoost,5,0.005,0.5330325491459877,961,0.01740187315169206,2917
XGBoost,5,0.01,0.44311956171446987,780,0.01876885434558622,2212
XGBoost,5,0.02,0.4398968739929101,150,0.024211934056682167,521
XGBoost,5,0.025,0.4660006445375443,71,0.028582142998566967,301
XGBoost,8,0.005,0.6041263700838169,894,0.018032681014272176,3001
XGBoost,8,0.01,0.5099935525467441,811,0.021317259134595676,2639
XGBoost,8,0.02,0.48613797549967763,285,0.026106231768518045,1256
XGBoost,8,0.025,0.504835589941973,158,0.033997099435743854,757
XGBoost,10,0.005,0.6223798774588842,889,0.020907824087271386,3046
XGBoost,10,0.01,0.5546597871654305,785,0.021849344989445327,2788
XGBoost,10,0.02,0.5372460496613995,356,0.028702742317603388,1563
XGBoost,10,0.025,0.5343437600773944,201,0.033401794265635235,953
XGBoost,12,0.005,0.6610770719122864,794,0.021421251823775234,3051
XGBoost,12,0.01,0.5846501128668171,776,0.022342334369026443,2850
XGBoost,12,0.02,0.5491776846178652,441,0.028289877531705317,1844
XGBoost,12,0.025,0.5556272170267655,250,0.03313323630381484,1274
LSTM,3,0.005,0.3431151241534989,1515,0.012248344943222666,3100
LSTM,3,0.01,0.23960012899064817,1288,0.012300162038018633,2687
LSTM,3,0.02,0.3782650757820058,236,0.016115754553455035,424
LSTM,3,0.025,0.44469525959367945,6,0.004068849042730483,11
LSTM,5,0.005,0.3893548387096774,1504,0.016126240400446707,3100
LSTM,5,0.01,0.27483870967741936,1470,0.01604159792402893,3031
LSTM,5,0.02,0.3667741935483871,79,0.013152563514631264,166
LSTM,5,0.025,0.39483870967741935,79,0.014592688946737611,146
LSTM,8,0.005,0.4138709677419355,1476,0.020135530956257502,3090
LSTM,8,0.01,0.30483870967741933,1540,0.02005401397542013,3047
LSTM,8,0.02,0.2332258064516129,1096,0.019545503610863213,2288
LSTM,8,0.025,0.30838709677419357,336,0.025544689722861027,617
LSTM,10,0.005,0.41949015811552115,1527,0.02173569588360758,3090
LSTM,10,0.01,0.3026782833171991,1639,0.02327879622087383,3043
LSTM,10,0.02,0.19167473378509198,1332,0.023188913233446365,2556
LSTM,10,0.025,0.22168441432720232,1018,0.021243610845502494,2080
LSTM,12,0.005,0.4207808970635689,1552,0.025389069967931315,3094
LSTM,12,0.01,0.32655695385608263,1612,0.025453012721032838,3097
LSTM,12,0.02,0.24556308486608583,1390,0.024115510270652462,2838
LSTM,12,0.025,0.23814133591481124,988,0.024167392933503458,2030
GRU,3,0.005,0.34440503063527894,1461,0.012751315477851454,3095
GRU,3,0.01,0.22637858755240245,1385,0.012172256793115552,2876
GRU,3,0.02,0.4134150274105127,21,0.013418186010066443,46
GRU,3,0.025,0.4472750725572396,20,0.012442141000183,31
GRU,5,0.005,0.36451612903225805,1583,0.016179846211769877,3092
GRU,5,0.01,0.2625806451612903,1452,0.016223356957212845,2912
GRU,5,0.02,0.34838709677419355,284,0.020270260226767485,560
GRU,5,0.025,0.38806451612903226,61,0.013647647577909743,126
GRU,8,0.005,0.4112903225806452,1508,0.019856635335714704,3099
GRU,8,0.01,0.3125806451612903,1502,0.019868491928128652,3044
GRU,8,0.02,0.20838709677419354,1116,0.021314737209884655,2227
GRU,8,0.025,0.27741935483870966,479,0.022166275766059937,885
GRU,10,0.005,0.3998063891577928,1592,0.023322228933099574,3098
GRU,10,0.01,0.33526944175540496,1538,0.022643202863172052,3052
GRU,10,0.02,0.22329783801226202,1260,0.023769636492478634,2501
GRU,10,0.025,0.20296869958050984,1104,0.023126362775521443,2143
GRU,12,0.005,0.42433042917070024,1551,0.024280316542090955,3097
GRU,12,0.01,0.34398192965472735,1547,0.02514090901716182,3086
GRU,12,0.02,0.2362052274927396,1408,0.025432956469576152,2801
GRU,12,0.025,0.20555017747660537,1194,0.0253614584066864,2336
CNN,3,0.005,0.3485972267010642,1484,0.012350203980119627,3100
CNN,3,0.01,0.23476297968397292,1321,0.012686646258119822,2768
CNN,3,0.02,0.42470170912608834,0,0.0,0
CNN,3,0.025,0.4414704933892293,7,0.008958475524618063,14
CNN,5,0.005,0.3690322580645161,1547,0.01630745099578935,3096
CNN,5,0.01,0.27129032258064517,1523,0.01582056239615189,3089
CNN,5,0.02,0.36838709677419357,45,0.023977723839375267,117
CNN,5,0.025,0.39548387096774196,14,0.02066158375279095,28
CNN,8,0.005,0.41516129032258065,1487,0.019947055020012035,3100
CNN,8,0.01,0.3229032258064516,1484,0.019691107362407142,3086
CNN,8,0.02,0.3167741935483871,60,0.0341724103188817,92
CNN,8,0.025,0.36129032258064514,10,0.023231171629476893,19
CNN,10,0.005,0.41981284285253306,1536,0.022230898374489133,3099
CNN,10,0.01,0.3546305259761213,1517,0.021295244647762605,3099
CNN,10,0.02,0.23975475959987091,893,0.021379753072587236,1879
CNN,10,0.025,0.2968699580509842,458,0.022100681248121375,1016
CNN,12,0.005,0.4430461439173927,1490,0.023918899606865007,3099
CNN,12,0.01,0.36624717650855115,1541,0.024315120959670845,3099
CNN,12,0.02,0.25879315908357536,1395,0.023393869821298728,2880
CNN,12,0.025,0.24136818328493062,876,0.024559373629703386,1892
