model,lookahead,threshold,accuracy,loss_count,loss_mean,transaction
XGBoost,3,0.02,0.4989106753812636,115,0.04195746834748681,391
XGBoost,3,0.03,0.42701525054466233,92,0.05048829059515551,289
XGBoost,3,0.04,0.4357298474945534,49,0.050705950102014376,203
XGBoost,3,0.05,0.4531590413943355,39,0.05273338754277523,168
XGBoost,5,0.02,0.5708061002178649,112,0.04981669083211705,402
XGBoost,5,0.03,0.5446623093681917,84,0.04933646306899827,348
XGBoost,5,0.04,0.5620915032679739,46,0.04321505365472882,285
XGBoost,5,0.05,0.5424836601307189,42,0.06657386494830982,237
XGBoost,8,0.02,0.6855895196506551,79,0.046125973488247804,425
XGBoost,8,0.03,0.6550218340611353,67,0.045853255214354564,384
XGBoost,8,0.04,0.5960698689956332,61,0.05082444364302192,358
XGBoost,8,0.05,0.6091703056768559,40,0.05627788828471181,313
XGBoost,10,0.02,0.7554585152838428,55,0.044054169126327924,437
XGBoost,10,0.03,0.722707423580786,50,0.04435250595243967,409
XGBoost,10,0.04,0.6681222707423581,45,0.041807845282028876,369
XGBoost,10,0.05,0.611353711790393,43,0.04828073582497177,332
XGBoost,12,0.02,0.7636761487964989,59,0.048818604912406284,430
XGBoost,12,0.03,0.7549234135667396,47,0.05216587791869311,406
XGBoost,12,0.04,0.7221006564551422,35,0.048099208337062146,384
XGBoost,12,0.05,0.6542669584245077,48,0.049752229926948444,358
LSTM,3,0.02,0.3479212253829322,203,0.044389499229972755,420
LSTM,3,0.03,0.2713347921225383,189,0.044566341247608464,387
LSTM,3,0.04,0.23851203501094093,149,0.0468139111940019,308
LSTM,3,0.05,0.24507658643326038,125,0.04360891464106595,237
LSTM,5,0.02,0.3435448577680525,219,0.05051720369155259,425
LSTM,5,0.03,0.2888402625820569,216,0.051978239649740444,418
LSTM,5,0.04,0.2888402625820569,167,0.04797406746393726,353
LSTM,5,0.05,0.24945295404814005,148,0.051464026283701676,312
LSTM,8,0.02,0.43201754385964913,203,0.07794127238543869,448
LSTM,8,0.03,0.3706140350877193,212,0.0691991523067997,445
LSTM,8,0.04,0.31798245614035087,178,0.06989758830098584,394
LSTM,8,0.05,0.3355263157894737,158,0.07402675638167881,373
LSTM,10,0.02,0.45274725274725275,204,0.08931064357144662,439
LSTM,10,0.03,0.42417582417582417,197,0.08773452609495883,431
LSTM,10,0.04,0.35384615384615387,211,0.0864483971569038,413
LSTM,10,0.05,0.3120879120879121,198,0.09605056781881467,401
LSTM,12,0.02,0.4747252747252747,215,0.10914411730965329,455
LSTM,12,0.03,0.45714285714285713,197,0.09984390501686248,442
LSTM,12,0.04,0.3626373626373626,197,0.08591406022489688,404
LSTM,12,0.05,0.3648351648351648,190,0.098071138876327,407
GRU,3,0.02,0.3347921225382932,206,0.045336809593522216,427
GRU,3,0.03,0.29978118161925604,196,0.043180981657313156,409
GRU,3,0.04,0.23194748358862144,151,0.04229026725326857,309
GRU,3,0.05,0.21663019693654267,163,0.04778140065490161,307
GRU,5,0.02,0.350109409190372,224,0.05123949981258547,433
GRU,5,0.03,0.32603938730853393,173,0.061549519312130464,402
GRU,5,0.04,0.2800875273522976,176,0.04656224833752109,372
GRU,5,0.05,0.2363238512035011,170,0.04844628050361992,336
GRU,8,0.02,0.4451754385964912,202,0.07942849410525092,454
GRU,8,0.03,0.4100877192982456,205,0.07117054172991964,450
GRU,8,0.04,0.3881578947368421,177,0.06901287124955424,428
GRU,8,0.05,0.33114035087719296,178,0.07502894227957556,415
GRU,10,0.02,0.4879120879120879,198,0.0839758572996273,455
GRU,10,0.03,0.43956043956043955,198,0.08472272404143572,448
GRU,10,0.04,0.4,184,0.08418338642892124,426
GRU,10,0.05,0.36043956043956044,178,0.08701280863041166,396
GRU,12,0.02,0.5098901098901099,195,0.10002224095816484,455
GRU,12,0.03,0.45714285714285713,204,0.0981857357642471,446
GRU,12,0.04,0.3934065934065934,201,0.09971358593270781,426
GRU,12,0.05,0.37362637362637363,187,0.09772109526357552,406
CNN,3,0.02,0.3347921225382932,228,0.048467188427929915,443
CNN,3,0.03,0.2778993435448578,199,0.04769802375627492,414
CNN,3,0.04,0.23194748358862144,161,0.04627005762702588,316
CNN,3,0.05,0.2800875273522976,120,0.044892788658084874,229
CNN,5,0.02,0.3544857768052516,214,0.06702372972147663,451
CNN,5,0.03,0.29978118161925604,209,0.0576518241237092,431
CNN,5,0.04,0.26695842450765866,190,0.054141826244547366,405
CNN,5,0.05,0.22319474835886213,184,0.0601144852527685,378
CNN,8,0.02,0.4407894736842105,205,0.08691929512791596,455
CNN,8,0.03,0.375,218,0.07319344626205657,452
CNN,8,0.04,0.34210526315789475,197,0.06991987905774669,432
CNN,8,0.05,0.2916666666666667,208,0.07710956497931763,420
CNN,10,0.02,0.4593406593406593,207,0.1019043263130631,451
CNN,10,0.03,0.35384615384615387,237,0.09070960796554328,446
CNN,10,0.04,0.3384615384615385,226,0.08309288953224292,429
CNN,10,0.05,0.34505494505494505,209,0.07753264912210286,426
CNN,12,0.02,0.45274725274725275,224,0.09853513381926009,455
CNN,12,0.03,0.37362637362637363,234,0.10121464746949875,438
CNN,12,0.04,0.42637362637362636,191,0.08678990299153853,436
CNN,12,0.05,0.367032967032967,194,0.09482511653094408,411
