model,lookahead,threshold,accuracy,loss_count,loss_mean,transaction
XGBoost,3,0.02,0.9424065055180734,20,0.02444926111176115,66
XGBoost,3,0.03,0.978776640900764,4,0.013388186799527815,17
XGBoost,3,0.04,0.9906617219963362,3,0.04094576448426669,10
XGBoost,3,0.05,0.9958446896921496,2,0.05915691821282565,6
XGBoost,5,0.02,0.9027299941915017,27,0.025937942187970214,133
XGBoost,5,0.03,0.9584468969214959,10,0.030973303721335353,39
XGBoost,5,0.04,0.9814574862606675,3,0.02794222492712121,27
XGBoost,5,0.05,0.9906170412403378,3,0.014398575397918756,22
XGBoost,8,0.02,0.8524575513851653,40,0.019148722361882496,236
XGBoost,8,0.03,0.9302055406613048,17,0.02817374605129705,104
XGBoost,8,0.04,0.9645218945487042,1,0.006067580007581051,52
XGBoost,8,0.05,0.9815907059874889,3,0.02564408436777214,37
XGBoost,10,0.02,0.8245229903034095,65,0.027907961061360786,396
XGBoost,10,0.03,0.9114348272934447,15,0.038573556465123976,125
XGBoost,10,0.04,0.9537065999374413,4,0.02845076405013858,66
XGBoost,10,0.05,0.9753787032485812,3,0.0019169877893679438,51
XGBoost,12,0.02,0.7988292595737075,87,0.030826350554321726,487
XGBoost,12,0.03,0.8940971446445328,23,0.03554519292567998,194
XGBoost,12,0.04,0.9427141516600385,1,0.053580560144756526,76
XGBoost,12,0.05,0.9683631976406453,0,0.0,50
LSTM,3,0.02,0.9602305733053309,19,0.01873870528562556,43
LSTM,3,0.03,0.9862817820277939,17,0.01907951794989762,35
LSTM,3,0.04,0.9950846775995352,0,0.0,0
LSTM,3,0.05,0.9980338710398141,0,0.0,0
LSTM,5,0.02,0.9270265439270712,23,0.008942537111815951,51
LSTM,5,0.03,0.9726963982482796,9,0.010798356359179362,16
LSTM,5,0.04,0.9887836267762982,8,0.030329062010036677,8
LSTM,5,0.05,0.9947269639824828,1,0.012989925685259534,5
LSTM,8,0.02,0.8638841719545982,264,0.01464324924171841,522
LSTM,8,0.03,0.9495039771203861,32,0.017190758306415765,69
LSTM,8,0.04,0.9765394583966396,28,0.013548716154720796,35
LSTM,8,0.05,0.9881133255876308,13,0.00951743241613783,32
LSTM,10,0.02,0.8351879161639183,230,0.0194695196743175,504
LSTM,10,0.03,0.9302408723242616,62,0.01636618455524144,130
LSTM,10,0.04,0.9634892970460741,73,0.021869448113596462,139
LSTM,10,0.05,0.9827054564955088,20,0.014488326716514996,41
LSTM,12,0.02,0.7896947758859544,547,0.015530546631980021,1124
LSTM,12,0.03,0.9068686597846003,135,0.014580908283828553,373
LSTM,12,0.04,0.9549537471510926,71,0.014911547181280117,105
LSTM,12,0.05,0.9775662510613576,29,0.018463077587683653,37
GRU,3,0.02,0.9611242682872335,2,0.022901926258978446,9
GRU,3,0.03,0.9875329550024576,0,0.0,0
GRU,3,0.04,0.9950846775995352,0,0.0,0
GRU,3,0.05,0.9980338710398141,0,0.0,0
GRU,5,0.02,0.9272499776566271,25,0.014015850602267857,78
GRU,5,0.03,0.9726517115023684,6,0.0064041558646547045,15
GRU,5,0.04,0.9885155063008312,5,0.007447962397915192,12
GRU,5,0.05,0.994503530252927,3,0.017331870781349946,14
GRU,8,0.02,0.8708553043167396,160,0.01724085798799062,340
GRU,8,0.03,0.949459290374475,24,0.012753913506977977,65
GRU,8,0.04,0.9765841451425508,19,0.010582129767078991,34
GRU,8,0.05,0.9874430243989633,36,0.02177171125783547,53
GRU,10,0.02,0.8360370022791259,264,0.021666867402613428,562
GRU,10,0.03,0.9314027796398088,35,0.019398615264345543,137
GRU,10,0.04,0.9664387540778477,31,0.018912598288498856,54
GRU,10,0.05,0.9825713902667917,31,0.018609078692067568,59
GRU,12,0.02,0.8074808955624079,248,0.02121270511390279,462
GRU,12,0.03,0.8950708316575055,323,0.019298547129788676,668
GRU,12,0.04,0.957277561782187,42,0.016621436260756642,110
GRU,12,0.05,0.9770746748893954,28,0.033178405998438486,55
CNN,3,0.02,0.9609902140399482,0,0.0,3
CNN,3,0.03,0.9873989007551722,0,0.0,3
CNN,3,0.04,0.9949953081013451,0,0.0,2
CNN,3,0.05,0.9980338710398141,0,0.0,0
CNN,5,0.02,0.9279649655912057,8,0.0071405811415078966,15
CNN,5,0.03,0.9729198319778354,4,0.0029011351331211088,9
CNN,5,0.04,0.989007060505854,1,0.018187576898244667,1
CNN,5,0.05,0.9949503977120386,0,0.0,0
CNN,8,0.02,0.8774689427115917,9,0.023131477805286633,23
CNN,8,0.03,0.9512914469568327,1,0.019384101836798395,6
CNN,8,0.04,0.9779694342657967,0,0.0,3
CNN,8,0.05,0.9895433014567879,0,0.0,0
CNN,10,0.02,0.8462707244045224,36,0.030237093068449312,90
CNN,10,0.03,0.9330115743844125,20,0.032390176982374834,49
CNN,10,0.04,0.9681816150511686,2,0.0005133830434224983,13
CNN,10,0.05,0.9844036287259239,0,0.0,3
CNN,12,0.02,0.815524869285427,33,0.0398171191318468,73
CNN,12,0.03,0.9171470706529026,24,0.0392060943401621,47
CNN,12,0.04,0.9592885552129419,3,0.024722758688546075,3
CNN,12,0.05,0.9789069133485275,2,0.024053581096881126,7
