model,lookahead,threshold,accuracy,loss_count,loss_mean,transaction
XGBoost,3,0.02,0.661296097386323,64,0.03164800294544995,218
XGBoost,3,0.03,0.7926960257787325,16,0.0345085204420406,53
XGBoost,3,0.04,0.8693161475116362,8,0.038402858983602794,36
XGBoost,3,0.05,0.9187253848907985,4,0.02005065376924005,21
XGBoost,5,0.02,0.6178366762177651,130,0.03142634136407292,607
XGBoost,5,0.03,0.7095272206303725,36,0.03124860369128561,229
XGBoost,5,0.04,0.7990687679083095,16,0.07214292383429845,94
XGBoost,5,0.05,0.8642550143266475,5,0.08365521941943961,58
XGBoost,8,0.02,0.6164040114613181,197,0.032328118118719204,1042
XGBoost,8,0.03,0.6808739255014327,60,0.03292814118330863,466
XGBoost,8,0.04,0.7464183381088825,25,0.06289497931980875,240
XGBoost,8,0.05,0.8051575931232091,10,0.0259357724522911,129
XGBoost,10,0.02,0.6331064134718739,253,0.03651028110974917,1314
XGBoost,10,0.03,0.6764600501612326,73,0.037174902903798365,607
XGBoost,10,0.04,0.7434611250447868,41,0.033067298940372934,410
XGBoost,10,0.05,0.7903977069150842,10,0.03648295835218921,234
XGBoost,12,0.02,0.6592619132927267,261,0.03894480604610117,1508
XGBoost,12,0.03,0.6968828376925833,83,0.04248041476106996,811
XGBoost,12,0.04,0.7398781798638481,42,0.052140848340435364,463
XGBoost,12,0.05,0.7857398781798638,21,0.038215546553735345,323
LSTM,3,0.02,0.6725188104622,21,0.021449518595927412,61
LSTM,3,0.03,0.8258688642063776,5,0.03513365947064624,12
LSTM,3,0.04,0.8964528842708707,8,0.02386648513767927,18
LSTM,3,0.05,0.9390899319240416,5,0.017300702341523845,5
LSTM,5,0.02,0.5283154121863799,252,0.028422357298438165,525
LSTM,5,0.03,0.7014336917562723,28,0.021234824215346,60
LSTM,5,0.04,0.8232974910394265,6,0.04446186030658273,14
LSTM,5,0.05,0.8849462365591397,2,0.06664229992692838,11
LSTM,8,0.02,0.41556113302258874,428,0.02834831742539323,873
LSTM,8,0.03,0.6070276084618142,78,0.02454275906535566,158
LSTM,8,0.04,0.7314449623520975,33,0.022884195290204728,72
LSTM,8,0.05,0.812836141986375,1,0.015486583888459976,11
LSTM,10,0.02,0.3721764073144496,711,0.032579956265234696,1485
LSTM,10,0.03,0.5769092864826103,69,0.03662804232616356,148
LSTM,10,0.04,0.6737181785586231,54,0.030902211341501708,126
LSTM,10,0.05,0.772319827895303,14,0.022633525085808705,26
LSTM,12,0.02,0.37697274031563843,549,0.03618293240906323,1265
LSTM,12,0.03,0.5326398852223816,60,0.03724472259004989,126
LSTM,12,0.04,0.6456241032998565,24,0.02690647222957396,38
LSTM,12,0.05,0.7177187948350072,42,0.0285232369942418,77
GRU,3,0.02,0.6771766391974203,0,0.0,0
GRU,3,0.03,0.8273020422787531,0,0.0,0
GRU,3,0.04,0.9018273020422788,0,0.0,0
GRU,3,0.05,0.940881404514511,0,0.0,0
GRU,5,0.02,0.5555555555555556,141,0.038538030375742584,283
GRU,5,0.03,0.7046594982078853,33,0.037165839332498445,64
GRU,5,0.04,0.8268817204301075,0,0.0,0
GRU,5,0.05,0.8881720430107527,0,0.0,0
GRU,8,0.02,0.45536034420939403,274,0.03984331544237714,556
GRU,8,0.03,0.6084618142703478,85,0.02507079515645348,206
GRU,8,0.04,0.7393330942990319,6,0.015368218073933652,23
GRU,8,0.05,0.8135532448906418,1,0.01824676136762257,5
GRU,10,0.02,0.3958408031552528,578,0.03368810629591081,1212
GRU,10,0.03,0.5808533524560775,36,0.026641530728704656,106
GRU,10,0.04,0.6877016851918251,24,0.02382815549094902,55
GRU,10,0.05,0.7558264610971674,34,0.031179399230629533,75
GRU,12,0.02,0.3705164992826399,605,0.035577812680420796,1341
GRU,12,0.03,0.5283357245337159,91,0.040590216704018384,219
GRU,12,0.04,0.6345050215208035,50,0.02751724832082157,95
GRU,12,0.05,0.7302725968436155,16,0.017913480947079022,30
CNN,3,0.02,0.6771766391974203,6,0.04981510479321091,10
CNN,3,0.03,0.8269437477606593,5,0.05484007433794561,7
CNN,3,0.04,0.9014690075241849,3,0.07470070251629107,3
CNN,3,0.05,0.940881404514511,0,0.0,0
CNN,5,0.02,0.5455197132616487,111,0.03092521412465508,209
CNN,5,0.03,0.7060931899641577,27,0.028125414167358826,61
CNN,5,0.04,0.8275985663082437,0,0.0,8
CNN,5,0.05,0.8874551971326164,1,0.0023126004007003233,6
CNN,8,0.02,0.46360702760846184,193,0.02835160484438915,417
CNN,8,0.03,0.6217282179992829,39,0.030757719160161054,110
CNN,8,0.04,0.740408748655432,11,0.024782995619492345,24
CNN,8,0.05,0.814628899247042,3,0.07456294182267567,5
CNN,10,0.02,0.38831122266045176,590,0.03435477600276649,1327
CNN,10,0.03,0.5657941914664755,108,0.03754519824921355,219
CNN,10,0.04,0.6948727142344926,13,0.031223766012177905,17
CNN,10,0.05,0.7794908569379706,3,0.1230357176400665,6
CNN,12,0.02,0.3651362984218077,738,0.032827449415470666,1686
CNN,12,0.03,0.5308464849354376,105,0.040561427797308085,215
CNN,12,0.04,0.6373744619799139,43,0.024278271072132034,79
CNN,12,0.05,0.7349354375896701,12,0.029913919875515057,21
